cases,customer,item_type,material,ph_level2,ph_level3,sku,sku_description,uom,warehouse,__idx
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Chengdu_PG,0
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Luogang_PG,1
24,TMALL,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Luogang_PG,2
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Shenyang_PG,3
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Taicang_PG,4
24,TMALL,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Taicang_PG,5
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Wuhan_PG,6
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Xian_PG,7
24,JD,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Xiqing_PG,8
24,TMALL,Cleanser,80693598,Face,FAB,815517025992,FAB FACE CLEANSER 5.0OZ 142GX24 NOV21,G,Xiqing_PG,9
12,JD,Cream,82314748,Ultra Repair,FAB,815517026005,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,G,Chengdu_PG,10
12,JD,Cream,82314748,Ultra Repair,FAB,815517026005,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,G,Luogang_PG,11
12,TMALL,Cream,82314748,Ultra Repair,FAB,815517026005,FAB ULTRA REPAIR CRM 6.0OZ 170GX12 JUL20,G,Luogang_PG,12
