fea,imp
prev_hw,-0.02701208306182397
next_hw,-0.022217491105667904
sliding_y_sum,-0.0174052860019928
ratio_hw_to_lag_4,-0.01617582689862361
ratio_hw_to_avg,-0.01587688122906244
y_hw,-0.014100066937958677
sliding_y_mean,-0.012662856802673643
y_lag_5,-0.01123429485957916
y_lag_5_div_lag_6,-0.010711078657364533
y_id_mean,-0.009968278866407283
__idx,-0.009058986627616816
y_id_sum,-0.008987827960505379
sliding_y_min,-0.008785697669968125
y_id_std,-0.008453228321333014
y_lag_4_div_lag_6,-0.008443705127173158
slope_y,-0.008186725610652182
sliding_y_max,-0.006898028136991637
y_id_max,-0.006628954363117731
id,-0.005092585390775173
sliding_y_median,-0.004777403383969551
y_id_min,-0.0047759928375627255
ratio_clust_to_lag_6,-0.004532722959290406
y_lag_4,-0.003019722869431607
prod_code,-0.002353274755969244
cases,-0.0019386673366462344
ratio_hw_to_lag_5,-0.0013611043085618075
ratio_clust_to_lag_5,-0.0013134580124852544
y_median_div_sum,-0.00106076605088082
slope_hw,-0.00034910723059177194
sku_type,-0.0003080776514035525
ratio_hw_to_lag_6,-0.00013389671544882613
y_lag_6,-0.00010838482139498747
size,-1.3982068698318677e-05
prod_hierarchy,0.0
month_cos,0.0
month_sin,0.0
units,0.0
y_mean_div_sum,0.0
d1_y_hw,0.0005008892172641961
week_cos,0.0005321339211866172
y_mean_div_median,0.0012367030321667565
sliding_y_std,0.0015701149939405116
week_sin,0.0016729433249669653
ratio_clust_to_lag_4,0.0019312436458289246
y_lag_4_div_lag_5,0.005308106776785682
